carrera,clave,plan
107,2232,Trayectoria inicial de la carrera
107,4318,Construcción
107,4319,Estructuras
107,4320,Geotecnia
107,4321,Hidráulica
107,4322,Ingeniería Sanitaria y Ambiental
107,4323,Sistemas, Planeación y Transporte
108,2221,Trayectoria única sin módulos de salida
109,2220,Trayectoria inicial de la carrera
109,4289,Control y Robótica
109,4290,Eléctrica de Potencia
109,4291,Electrónica
109,4292,Ingeniería Biomédica
109,4293,Sistemas Energéticos
110,2223,Trayectoria inicial de la carrera
110,4299,Ingeniería de Software
110,4300,Organización de Sistemas Computacionales
110,4301,Tecnologías de la Información y Comunicación
111,2222,Trayectoria inicial de la carrera
111,4294,Ingeniería de Sistemas Espaciales y sus Aplicaciones
111,4295,Política, Regulación y Normalización de las Telecomunicaciones
111,4296,Redes de Telecomunicaciones
111,4297,Señales y Sistemas de Radiocomunicación
111,4298,Tecnologías de Radiofrecuencia, Ópticas y Microondas
112,2228,Trayectoria inicial de la carrera
112,4309,Exploración Minera
112,4310,Exploración Petrolera
112,4311,Geofísica Ambiental
112,4312,Geotecnia
112,4313,Hidrogeología
112,4314,Sismología
113,2231,Trayectoria única sin módulos de salida
114,2225,Trayectoria inicial de la carrera
114,4306,Dirección y Creación de Empresas
114,4307,Gestión de la Cadena de Suministros
114,4308,Producción y Manufactura
115,2224,Trayectoria inicial de la carrera
115,4302,Automatización
115,4303,Diseño
115,4304,Materiales y Manufactura
115,4305,Termofluidos
117,2229,Trayectoria única sin módulos de salida
124,2227,Trayectoria única sin módulos de salida
125,2226,Trayectoria única sin módulos de salida
135,2230,Trayectoria inicial de la carrera
135,4315,Biomecánica
135,4316,Instrumentación Biomédica
135,4317,Logística Hospitalaria
137,2233,Trayectoria inicial de la carrera
137,4324,Gestión Integral de Residuos Sólidos
137,4325,Ingeniería de la Calidad del Agua
137,4326,Ingeniería de la Calidad del Aire
137,4327,Manejo de Materiales y Residuos Peligrosos
137,4328,Planeación y Gestión Ambiental
139,2234,Trayectoria inicial de la carrera
139,4329,Ingeniería Aeronáutica
139,4330,Ingeniería Espacial
